
76,76
81,81
79,79
77,77
83,72,66,38,26,38
81,72,66,38,26,38
83,74,71,67,43,31,43
84,74,71,67,43,31,43
86,72,71,67,43,31,43
84,72,71,67,43,31,43
83,74,62,43,31,43
81,74,62,43,31,43
79,71,62
81,71,62
83,74,62
81,74,62
79,77,59
77,77,59
76,80,59,43,31,43
77,80,59,43,31,43
79,79,59,43,31,43
77,79,59,43,31,43
76,77,59,43,31,43
74,77,59,43,31,43
76,76,60,48,36,48
72,76,60,52,40,52
76,76,60,52,40,52
76,55,43,55
76,60,48,60
72,60,48,60
76,60,48,60
76,72,69
76,72,69,60
72,71,68,60
76,71,68,60
76,72,69,60
76,69,62,62,50,38,50
78,69,62,62,50,38,50
72,69,62,62,54,42,54
78,69,62,62,54,42,54
76,57,45,62,57
76,62,50,62
78,62,50,62
72,62,50,62
78,62,50,62
76,74,71
76,74,71,62
78,74,71,62
72,72,69,62
78,72,69,62
76,74,71,62
76,71,64,64,52,40,52
80,71,64,64,52,40,52
71,71,64,64,56,44,56
80,71,64,64,56,44,56
76,59,47,64,59
76,64,52,64
80,64,52,64
71,64,52,64
80,64,52,64
76,74,71
76,74,71,64
80,74,71,64
71,72,69,64
80,72,69,64
76,74,71,64
76,72,69,66,54,42,54
81,72,69,66,54,42,54
72,72,69,66,57,45,57
81,72,69,66,57,45,57
76,60,48,66,60
76,64,52,64
81,64,52,64
72,64,52,64
81,64,52,64
76,72,69
76,72,69,66
81,72,69,66
72,71,68,66
81,71,68,66
76,72,69,66
76,71,64,68,56,44,56
83,71,64,68,56,44,56
74,71,64,68,59,47,59
83,71,64,68,59,47,59
76,62,50,68,62
76,64,52,64
83,64,52,64
74,64,52,64
83,64,52,64
76,71,62,64,52,64
76,71,62,68
83,71,62,68
74,69,60,68
83,69,60,68
76,71,62,68,55,43,55
76,69,60,64,57,45,57
84,69,60,64,57,45,57
76,69,60,64,55,43,55
84,69,60,64,55,43,55
76,69,60,64,53,41,53
76,52,40,52
84,52,40,52
76,50,38,50
84,50,38,50
76,48,36,48
76,47,35,47
84,47,35,47
76,48,36,48
84,48,36,48
76,69,69,69,45,33,45
76,74,74,74,53,41,53
84,74,74,74,53,41,53
74,72,72,72,53,41,53
84,72,72,72,53,41,53
76,71,71,71,53,41,53
76,69,69,69
84,69,69,69
74,67,67,67
84,67,67,67
76,65,65,65
76,64,64,64
84,64,64,64
74,65,65,65
84,65,65,65
76,62,62,62,53,41,53
76,71,71,71,55,43,55
83,71,71,71,55,43,55
74,71,71,71,53,41,53
83,71,71,71,53,41,53
76,71,71,71,52,40,52
76,50,38,50
83,50,38,50
74,48,36,48
83,48,36,48
76,47,35,47
76,45,33,45
83,45,33,45
74,47,35,47
83,47,35,47
76,71,71,71,43,31,43
76,72,72,72,52,40,52
83,72,72,72,52,40,52
72,71,71,71,52,40,52
83,71,71,71,52,40,52
76,69,69,69,52,40,52
76,67,67,67
83,67,67,67
72,65,65,65
83,65,65,65
76,64,64,64
76,62,62,62
83,62,62,62
72,64,64,64
83,64,64,64
76,60,60,60,52,40,52
76,69,69,69,53,41,53
81,69,69,69,53,41,53
72,69,69,69,52,40,52
81,69,69,69,52,40,52
76,69,69,69,50,38,50
76,48,36,48
81,48,36,48
72,47,35,47
81,47,35,47
76,45,33,45
76,43,31,43
81,43,31,43
72,45,33,45
81,45,33,45
76,69,69,69,41,29,41
76,71,71,71,50,38,50
81,71,71,71,50,38,50
71,69,69,69,50,38,50
81,69,69,69,50,38,50
76,71,71,71,50,38,50
76,59,59,59
81,59,59,59
71,62,62,62
81,62,62,62
76,65,65,65
76,69,69,69
81,69,69,69
71,68,68,68
81,68,68,68
76,66,66,66,50,38,50
76,64,64,64,50,38,50
80,64,64,64,50,38,50
71,64,64,64,48,36,48
80,64,64,64,48,36,48
76,64,64,64,50,38,50
76,40,28,40
80,40,28,40
71,44,32,44
80,44,32,44
76,47,35,47
76,50,38,50
80,50,38,50
71,48,36,48
80,48,36,48
76,76,47,35,47
81,81,48,36,48
79,79,48,36,48
77,77,74,50,38,50
76,76,72,52,40,52
74,74,71,52,40,52
72,72,69,64,52,40,52
71,71,68,64,40,28,40
72,72,69,64,40,28,40
74,74,71,64,40,28,40
72,72,69,64,57,45,57
71,71,69,62,57,45,57
72,72,69,64,57,45,57
69,69,60,45,33,45
71,71,59,45,33,45
72,72,57,45,33,45
64,64,64,57,45,57
69,69,64,57,45,57
72,72,64,57,45,57
71,71,64,56,44,56
69,69,64,56,44,56
71,71,64,56,44,56
68,68,64,52,40,52
