
64
69,52
78,69,50
78,69,49
86,69,47
86,68,47
86,66,47
86,68,45
86,68,47
86,68,49
86,59,50
86,59,47
86,67,40
85,67,40
83,67,40
83,67,52
85,67,54
85,67,52
85,67,50
76,67,49
76,67,47
84,67,45
84,66,45
84,64,45
84,66,44
84,66,45
84,66,47
84,69,48
84,69,45
84,69,54
83,69,54
82,68,54
83,68,38
83,67,38
83,66,38
71,66,38
71,65,38
71,65,37
69,65,37
69,74,37
68,74,37
78,74,56
77,73,56
78,73,57
80,77,57
81,77,57
80,77,61
71,78,61
69,66,62
68,66,62
66,66,62
68,74,59
78,73,59
78,71,61
77,71,61
78,71,61
77,71,61
78,69,61
77,69,61
78,69,61
77,69,61
78,68,49
77,68,49
78,68,49
77,68,49
78,66,49
78,66,54
78,64,54
78,62,54
78,61,42
78,59,42
57,45
66,45
80,56,49
80,65,49
81,66,54
85,66,54
83,66,54
81,66,73,54
78,66,73,54
80,66,73,54
81,73,78,52
85,73,78,52
83,73,78,52
81,73,66,52
78,73,66,52
80,73,66,52
81,51
84,51
83,51
81,66,59,51
79,66,59,51
78,66,59,51
76,66,69,47
75,66,69,47
76,66,69,47
78,63,59,47
79,63,59,47
81,63,59,47
79,64,52
83,64,52
81,64,52
79,64,71,52
76,64,71,52
78,64,71,52
79,71,76,50
83,71,76,50
81,71,76,50
79,71,64,50
76,71,64,50
78,71,64,50
79,49
83,49
81,49
79,64,57,49
78,64,57,49
76,64,57,49
74,64,67,45
73,64,67,45
74,64,67,45
76,61,57,45
78,61,57,45
79,61,57,45
78,62,50
81,62,50
79,62,50
78,69,78,50
76,69,78,50
74,69,78,50
73,67,76,55
71,67,76,55
70,67,76,55
71,66,74,55
73,66,74,55
74,66,74,55
76,49
79,49
78,49
76,76,67,49
74,76,67,49
73,76,67,49
71,74,66,54
70,74,66,54
71,74,66,54
73,73,70,64,54
74,73,70,64,54
76,73,70,64,54
74,47
71,47
73,47
74,71,74,47
76,71,74,47
78,71,74,47
79,71,67,52
76,71,67,52
78,71,67,52
79,67,64,52
81,67,64,52
83,67,64,52
84,45
86,45
84,45
83,64,72,45
81,64,72,45
79,64,72,45
78,66,69,50
76,66,69,50
74,66,69,50
72,66,57,50
71,66,57,50
69,66,57,50
71,74,55,43
79,74,55,43
72,57
72,74,57
78,74,57
79,74,59
74,74,59
81,74,72,54
81,72,54
81,74,54
72,76,54
71,74,55
79,74,55
72,74,57
78,74,57
79,74,59
74,74,59
81,72,54
81,74,54
72,76,54
71,74,55
79,74,55
72,76,60
81,76,60
71,74,62
79,74,62
69,72,50
78,72,50
79,71,43
79,72,43
74,69,45
74,71,45
74,67,47
74,86,71,47
86,71,47
84,69,47
83,67,48
81,66,48
79,64,48
78,62,66,50
78,69,50
78,67,50
81,66,50
81,62,50
81,64,50
86,66,48
86,69,48
86,67,48
81,66,48
81,62,48
81,64,48
65,47
69,47
67,47
74,65,47
74,64,47
74,62,47
77,60,43
77,59,43
77,60,43
83,62,43
83,64,43
83,65,43
64,48
67,48
65,48
79,64,48
79,60,48
79,62,48
84,64,47
84,67,47
84,65,47
79,64,47
79,60,47
79,62,47
64,45
67,45
65,45
72,64,45
72,62,45
72,60,45
76,59,41
76,57,41
76,59,41
81,60,41
81,62,41
81,64,41
62,47
65,47
64,47
86,62,47
86,60,47
86,59,47
84,57,52
84,56,52
84,54,52
83,56,52
83,57,52
83,59,52
60,45
64,45
62,45
84,60,45
84,59,45
84,57,45
83,55,50
83,54,50
83,52,50
81,54,50
81,55,50
81,57,50
59,43
55,43
57,43
83,59,43
83,61,43
83,63,43
79,64,48
79,60,48
79,62,48
76,64,48
76,66,48
76,67,48
69,42
71,42
69,42
81,67,42
81,66,42
81,64,42
78,63,47
78,61,47
78,59,47
75,57,47
75,55,47
75,54,47
83,55,52
83,64,52
83,57,54
83,63,54
83,64,55
83,59,55
81,66,51
83,66,51
84,57,51
83,55,52
83,64,52
83,57,54
83,63,54
83,64,55
83,59,55
81,66,51
83,66,51
84,57,51
83,55,52
83,64,52
84,57,45
84,66,45
83,55,47
83,64,47
81,54,47
81,63,47
79,64,40
79,71,40
78,69,40
79,71,40
76,67
76,64
76,66
67,52
69,52
71,52
60,57
72,60,57
74,60,57
76,72,55
78,72,55
79,72,55
69,72,54
69,69,54
69,71,54
81,72,52
81,74,52
81,76,52
81,66,50
78,66,50
79,66,50
81,78,48
83,78,48
84,78,48
74,78,47
74,62,47
74,64,47
86,66,45
86,67,45
86,69,45
86,59,55
71,59,55
72,59,55
74,71,54
76,71,54
78,71,54
67,71,52
67,67,52
67,69,52
79,71,50
79,72,50
79,74,50
79,64,48
76,64,48
78,64,48
79,76,47
81,76,47
83,76,47
72,76,45
72,61,45
72,62,45
84,64,43
84,66,43
84,67,43
84,57,54
69,66,54
71,67,54
72,69,52
74,71,52
76,72,52
66,72,51
75,71,51
76,73,51
78,75,49
79,76,49
81,78,49
71,78,47
78,63,47
79,64,47
81,66,45
83,67,45
84,69,45
75,69,43
71,67,43
73,69,43
75,71,42
76,73,42
78,74,42
79,76,40
78,76,40
76,76,40
76,47
78,47
78,49
78,51
76,51
78,51
79,59,47
78,59,47
76,59,47
75,59,47
76,67,35
75,66,35
73,64,35
71,66,51
71,66,49
71,66,51
73,64,51
75,66,51
76,67,47
76,66,47
78,64,47
78,63,47
79,64,35
78,63,35
76,61,35
78,59,51
78,59,49
78,59,51
76,61,51
78,63,51
79,64,47
78,64,47
76,66,47
75,66,47
76,67,40
76,66,40
76,64,40
81,66,52
81,66,51
79,66,52
79,64,52
79,66,52
84,67,40
84,66,40
84,64,40
84,63,40
82,64,35
82,63,35
82,61,35
83,63
83,63,59
72,59
72,57
65,57
65,55
63,57
63,55
71,64,55
71,64,54
69,55
69,54
74,54
74,52
71,54
71,52
72,67,52
72,67,51
66,52
66,50
71,50
71,49
68,50
68,48
76,69,48
76,69,47
74,48
74,47
79,47
79,45
76,47
76,45
77,72,45
77,72,44
75,71,45
75,71,43
76,76,43
76,76,42
82,73,43
82,73,42
83,74,42
83,74,43
76,70,43
76,70,42
74,71,42
74,71,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
83,62,40
85,64,40
85,62,40
83,64,40
85,62,40
83,64,40
85,62,40
82,61,40
83,62,40
82,61,42
61,42
85,61,42
83,61,42
82,61,42
80,61,42
78,61,42
76
79
78
76,59,47
74,59,47
73,59,47
74,66,59
83,66,59
76,66,61
82,66,61
83,66,62
78,66,62
85,64,58
85,66,58
76,67,58
74,66,59
83,66,59
76,66,61
82,66,61
83,66,62
78,66,62
85,64,58
85,66,58
76,67,58
74,66,59
83,66,59
76,67,52
85,67,52
74,66,54
83,66,54
73,64,42
82,64,42
83,64,47
83,62,47
83,64,47
83,62,47
78,64,47
78,62,47
78,64,47
78,62,47
76,61,47
78,62,47
74,59
74,66
67,59
71,59
65,59
73,61
73,58
66,58
66
64
63,57
64,57
63,57
71,59
71,56
64,56
64
71,64
72,76,55
74,76,55
70,76,54
78,78,54
78,75,47
71,75,47
71,51
69,51
68,74,47
69,74,47
68,74,52
76,76,52
76,73,57
69,73,55
69,54
69,52
81,72,54
81,72,57
81,71,51
83,71,59
80,75,59
80,75,52
76,52
76,50
79,64,49
79,64,50
79,70,49
81,70,58
78,73,58
78,73,52
66,50
64,49
66,62,47
66,61,46
78,62,47
78,71,47
78,64,49
78,70,49
78,71,50
78,66,50
76,73,46
78,73,46
79,64,46
78,62,47
78,71,47
78,64,49
78,70,49
78,71,50
78,66,50
76,73,46
78,73,46
79,64,46
78,62,47
78,71,47
79,64,52
79,73,52
78,62,54
78,71,54
76,61,42
76,70,42
76,71,47
74,71,47
76,71,47
74,71,47
76,71,47
74,71,47
76,71,47
74,71,47
73,71,49
74,71,49
71,71,50
71,69,50
71,67,47
71,66,47
71,67,52
71,67,50
76,67,49
76,67,47
76,67,49
74,67,49
73,67,52
71,67,52
73,67,57
73,67,55
73,76,54
73,76,52
73,76,54
73,74,54
73,73,54
72,71,57
72,69,57
72,67,57
72,66,50
72,66,48
81,66,47
81,66,45
81,66,47
79,66,47
78,66,47
76,65,50
74,65,50
73,65,50
71,65,55
71,65,53
71,74,52
71,74,50
71,74,52
71,72,52
71,71,52
71,69,55
71,67,55
71,66,55
71,64,48
71,63,48
71,64,48
79,66,47
79,64,47
79,63,47
79,64,48
78,64,48
78,64,52
76,64,52
74,76,57
72,76,57
72,76,55
71,76,55
69,75,54
68,75,54
69,75,54
71,74,53
69,74,53
68,74,53
69,73,52
69,73,51
69,73,52
81,72,54
81,72,52
81,72,51
80,71,52
80,71,59
79,62,59
79,62,58
78,61,58
78,61,57
77,69,57
77,69,59
76,69,60
76,67,52
76,66,52
67,67,52
67,69,50
66,69,50
66,69,48
76,69,48
76,67,47
76,69,47
76,71,47
74,71,59
73,71,59
74,71,59
76,71,57
78,57
76,57
78,57
76,57
78,55
76,55
78,55
76,55
78,71,55
76,71,55
78,71,55
76,71,55
74,71,54
76,71,54
78,71,54
78,70,54
78,73,54
83,67,54
82,67
85,66
79,76,58
79,74,58
79,73,58
79,73,59
78,74,59
88,58
86,58
85,58
85,59
86,59
79,58
79,57
78,57
81,57
75,67,48
75,67,50
75,66,50
74,66,50
74,69,50
84,63,54
83,63,54
81,63,54
81,63,55
83,62,55
72,54
71,54
69,54
69,55
71,55
64,60
64,54
63,54
66,54
76,60,57
75,60,47
78,59,47
72,69,51
72,67,51
72,66,51
72,66,52
71,67,52
81,51
79,51
78,51
78,52
79,52
72,51
72,50
71,50
74,50
68,60,53
68,60,43
68,59,43
67,59,43
67,62,43
77,56,47
76,56,47
74,56,47
74,56,48
76,55,48
65,47
64,47
62,47
62,48
64,48
76,49
77,50
77,48
80,48
80,47
81,48
81,47
84,47
84,45
87,47
87,45
91,45
91,43
90,45
90,52
81,59,52
81,59,51
79,60,52
78,63,48
76,63,48
79,64,45
78,64,45
76,67,47
75,67,47
76,70,49
76,70,59
74,59
74,58
73,58
73,59
64,59
64,58
62,59
61,55
59,55
62,52
61,52
76,59,54
76,58,54
74,59,59
74,59,47
79,59,47
79,59,45
78,45
78,43
83,65,43
83,65,42
77,71,42
77,71,52
78,70,52
78,70,50
50
49
64,49
64,47
62,47
62,59
67,59
67,57
66,57
66,55
77,71,55
77,71,54
83,65,54
83,65,64
82,66,64
82,66,62
62
61
78,61
78,59
86,59
85,59
83,59
85,58
85,56
85,58
83,58
85,58
86,66,54
85,66,54
83,66,54
82,66,54
83,74,42
82,73,42
80,71,42
78,73,58
78,73,56
78,73,58
80,71,58
82,73,58
83,74,54
83,73,54
85,71,54
85,70,54
71,42
86,71,42
86,42
42
85,70,42
42
68,42
83,68,42
83
85
85,66,58
85,66
85,66,56
85,66
85,66,58
85,83,58
83,58
68,83,58
68,58
58
85,58
85,70,58
70,58
86,71,54
85,71,54
85,83,71,54
83,71,54
83,54
83,73,54
82,83,73,54
82,73,54
73,54
83,74,50
83,50
83,73,50
83,50
83,71,50
83
71,73,55
71,73
71,73,54
73
73,52
52
71,52
52
73,52
78,74,54
78,54
78,73,54
78,54
78,71,54
78,54
78,70,54
71,47
74,71,47
71,47
71,71,47
71,47
73,71,47
73
59
74,59
59
76,59
59
78,59
52
79,52
52
81,52
52
83,52
83
71
81,71
71
79,71
71
78,71
71,49
76,71,49
71,49
73,71,49
71,49
74,71,49
74
70
76,70
70
78,70
70
80,70
80
54
82,54
54
83,54
54
85,54
73
83,73
73
82,73
73
80,73
73
78,73,50
78,71,50
78,50
78,73,50
73
83,73,74
83,74
83
83,76
83
83,78
79,47
81,47
83,47
83
86,81
86,79
86,78
78
81,76,49
81,73,49
81,74,49
74
91,76
91,78
91,79
79
81,61
83,61
85,61
85
88,83
88,81
88,79
79
81,78,62
81,81,62
